jornada_id;club;P_tira;bandas_ok;bandas_faltantes
26/11/2023|PINOCHO|RACING ANEXO;RACING ANEXO;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|MACABI|ARGENTINOS JUNIORS;ARGENTINOS JUNIORS;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|MACABI|ARGENTINOS JUNIORS;MACABI;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|CENTRO GALICIA|PLATENSE;PLATENSE;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|CENTRO GALICIA|PLATENSE;CENTRO GALICIA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|NAUTICO HACOAJ|CAZA Y PESCA;CAZA Y PESCA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|NAUTICO HACOAJ|CAZA Y PESCA;NAUTICO HACOAJ;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|DEPORTIVO SAN ANDRES|BELLA VISTA;DEPORTIVO SAN ANDRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|DEPORTIVO SAN ANDRES|BELLA VISTA;BELLA VISTA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|BANCO PROVINCIA|CLUB TRES DE FEBRERO;BANCO PROVINCIA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|BANCO PROVINCIA|CLUB TRES DE FEBRERO;CLUB TRES DE FEBRERO;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|ARGENTINO DE CASTELAR|CIUDADELA NORTE;CIUDADELA NORTE;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|ARGENTINO DE CASTELAR|CIUDADELA NORTE;ARGENTINO DE CASTELAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
