anio,categoria,zona,equipo,partidos
2025,INFANTILES MASCULINO,NORTE,"VICTORIA NEGRO ""A""",28
2025,INFANTILES MASCULINO,OESTE,NOLTING,26
2025,INFANTILES MASCULINO,NORTE,HEBRAICA,25
2025,INFANTILES MASCULINO,NORTE,U.V.V.A UNION VECINAL VILLA ADELINA,30
2025,INFANTILES MASCULINO,SUR,SPORTIVO ALSINA,26
2025,INFANTILES MASCULINO,CENTRO,NUEVA CHICAGO,14
2025,INFANTILES MASCULINO,SUR,VILLA ESPAÑA,23
2025,INFANTILES MASCULINO,OESTE,CENTRO ESPAÑOL,29
2025,INFANTILES MASCULINO,OESTE,INDIOS U13 BLANCO,28
2025,INFANTILES MASCULINO,CENTRO,JUVENCIA,28
2025,INFANTILES MASCULINO,NORTE,NAUTICO BUCHARDO A,28
2025,INFANTILES MASCULINO,CENTRO,ALL BOYS DE SAAVEDRA,23
2025,INFANTILES MASCULINO,SUR,BOCA JUNIORS AMARILLO,26
2025,INFANTILES MASCULINO,OESTE,INSTITUCION SARMIENTO VERDE A,31
2025,INFANTILES MASCULINO,NORTE,"VICTORIA BLANCO ""B""",27
2025,INFANTILES MASCULINO,SUR,LOBOS ATHLETIC CLUB,14
2025,INFANTILES MASCULINO,NORTE,SAN FERNANDO AZUL (A),29
2025,INFANTILES MASCULINO,OESTE,EL PALOMAR,26
2025,INFANTILES MASCULINO,SUR,COUNTRY BANFIELD A,28
2025,INFANTILES MASCULINO,OESTE,CLUB GEI BLANCO (B),27
2025,INFANTILES MASCULINO,SUR,RACING CLUB,11
2025,INFANTILES MASCULINO,OESTE,HURACAN DE SAN JUSTO BLANCO,3
2025,INFANTILES MASCULINO,NORTE,ATLETICO BOULOGNE,30
2025,INFANTILES MASCULINO,OESTE,SAN MIGUEL BLANCO,24
2025,INFANTILES MASCULINO,OESTE,CLUB GEI AZUL (A),28
2025,INFANTILES MASCULINO,SUR,BURZACO FC ROJO B,25
2025,INFANTILES MASCULINO,OESTE,DEFENSORES DE MORENO ROJO,16
2025,INFANTILES MASCULINO,SUR,COUNTRY BANFIELD B,24
2025,INFANTILES MASCULINO,CENTRO,VILLA MITRE,27
2025,INFANTILES MASCULINO,OESTE,SAN MIGUEL VERDE,29
2025,INFANTILES MASCULINO,OESTE,ATENEO POPULAR VERSAILLES,29
2025,INFANTILES MASCULINO,NORTE,INDEPENDIENTE DE ESCOBAR,28
2025,INFANTILES MASCULINO,OESTE,UNITARIOS DE MARCOS PAZ,28
2025,INFANTILES MASCULINO,OESTE,GEVP BLANCO,28
2025,INFANTILES MASCULINO,OESTE,ESTUDIANTIL PORTEÑO A,29
2025,INFANTILES MASCULINO,SUR,LA UNION,22
2025,INFANTILES MASCULINO,CENTRO,ALDO BONZI,26
2025,INFANTILES MASCULINO,OESTE,ARGENTINO DE CASTELAR SUR C,21
2025,INFANTILES MASCULINO,SUR,BOCA JUNIORS A,28
2025,INFANTILES MASCULINO,CENTRO,PEDRO ECHAGUE AMARILLO B,24
2025,INFANTILES MASCULINO,CENTRO,GEBA,26
2025,INFANTILES MASCULINO,OESTE,MIDLAND,28
2025,INFANTILES MASCULINO,CENTRO,COLEGIALES NEGRO,26
2025,INFANTILES MASCULINO,NORTE,LAS HERAS A,29
2025,INFANTILES MASCULINO,CENTRO,EL TALAR,26
2025,INFANTILES MASCULINO,CENTRO,PEDRO ECHAGUE AZUL A,27
2025,INFANTILES MASCULINO,CENTRO,RACING ANEXO,25
2025,INFANTILES MASCULINO,OESTE,SITAS,28
2025,INFANTILES MASCULINO,CENTRO,ARQUITECTURA NEGRO  A,27
2025,INFANTILES MASCULINO,SUR,TAPONAZO  FUTBOL CLUB,24
2025,INFANTILES MASCULINO,NORTE,UNIVERSIDAD DE BUENOS AIRES,28
2025,INFANTILES MASCULINO,CENTRO,PINOCHO,28
2025,INFANTILES MASCULINO,SUR,OLIMPO,28
2025,INFANTILES MASCULINO,NORTE,"NAUTICO HACOAJ BLANCO ""A""",28
2025,INFANTILES MASCULINO,CENTRO-OESTE,ARMENIA,26
2025,INFANTILES MASCULINO,NORTE,COMUNICACIONES,28
2025,INFANTILES MASCULINO,NORTE,SPORTIVO ESCOBAR,27
2025,INFANTILES MASCULINO,OESTE,SPORTIVO HAEDO,27
2025,INFANTILES MASCULINO,SUR,LOS ANDES,28
2025,INFANTILES MASCULINO,CENTRO,DEPORTIVO CROVARA B,28
2025,INFANTILES MASCULINO,NORTE,PINOCHO VERDE,26
2025,INFANTILES MASCULINO,NORTE,BANCO NACION BLANCO B,26
2025,INFANTILES MASCULINO,SUR,CLUB ATLETICO PAMPERO,26
2025,INFANTILES MASCULINO,CENTRO,SAN LORENZO AZUL,26
